ct,name,class,z,N_HI,flag,Q,L_UV,SI_UV,n_rad,fit,L_21,TO,SI,L_21ssd,TOssd,thick,thin
446,[HB89]1538+149,Q,0.605,17.77,non,55.885,22.676,-0.9317362088661902,37,1,,11.199,-0.309,,,,
447,2MASXJ15414432+4727545,G,0.1104,18.01,non,,,,1,0,,,,,,,
448,2MASXJ15414656+4556135,G,0.2023,18.27,non,53.468,20.554,-1.8412135057568308,1,0,,,,,,,
449,PKS1543+005,G,0.55,18.0,non,54.797,21.569,-0.8932562161932336,20,1,,7.723,-0.338,,,,
450,SDSSJ154508.52+475154.6,Q,1.277,19.25,det,54.717,21.693,-1.4287226362424286,12,2,,9.11,,,9.691,0.199,-0.994
451,[HB89]1546+027,Q,0.41438,18.15,non,55.863,22.642,-0.9063680180389003,45,1,,-5.172,0.168,,,,
452,PKS1547-79,G,0.483,17.85,non,,,,11,2,,8.1,,,10.101,-0.704,-2.246
453,4C+30.29,G,0.111582,17.9,non,51.427,17.298,-0.11192021673204411,12,1,,-18.537,-0.95,,,,
454,WISEJ154917.46+503805.8,Q,2.17428,18.15,non,57.047,23.874,-1.013633141938721,16,2,,10.88,,,10.963,0.26,-1.097
455,4C+23.42,G,0.117606,18.79,non,54.123,20.786,-0.6950022524958545,13,1,,9.849,-0.777,,,,
456,2MASXJ15542410+2011249,G,0.2223,18.1,non,55.035,21.781,-0.8407714173634744,9,1,,9.806,-0.407,,,,
457,PKS1549-79,G,0.1501,18.56,det,,18.38,0.09412651684188837,25,2,,8.44,,,10.481,-0.521,-1.914
458,2MASXJ15561166+2811338,G,0.207927,18.64,non,53.77,20.709,-1.3101962866596604,1,0,,,,,,,
459,B21554+33C,G,0.2069,18.06,non,50.941,18.451,-4.885859288810125,4,1,,10.616,-0.761,,,,
460,2MASXJ15590340+2308283,G,0.1932,19.51,det,54.736,20.666,-0.1285538156212791,1,0,,,,,,,
461,[HB89]1556-245,Q,2.813,18.61,non,57.295,24.235,-1.3129763892469148,10,1,,10.269,-0.113,,,,
462,SDSSJ155953.91+423339.9,G,0.2169,18.06,non,50.373,17.931,-5.457998829691976,1,0,,,,,,,
463,ABELL2147,GClstr,0.109,19.71,det,61.507,28.946,-4.148060439764006,0,0,,,,,,,
464,4C+52.37,G,0.106,18.83,det,53.19,20.228,-1.6457466519518664,10,1,,10.882,-0.797,,,,
465,GIN463,G,0.1098,17.95,non,54.036,20.661,-0.6361516152746276,12,1,,9.701,-0.127,,,,
466,WISEAJ160325.27+143817.0,?,0.981859,17.74,non,54.69,21.631,-1.3154607414909942,0,0,,,,,,,
467,PKS1601-222,G,0.141,18.52,non,,,,8,2,,8.84,,,9.058,0.695,-0.886
468,SDSSJ160427.39+605055.3,G,0.55913,17.4,det,52.326,19.614,-2.9296917911455735,6,2,,9.04,,,9.365,0.342,-1.384
469,PKS1607+26,G,0.473,18.2,non,54.03,20.803,-0.8950005041459079,41,2,,9.09,,,9.244,0.988,-1.133
470,2MASXJ16090715+1319087,G,0.1836,18.02,non,49.91,17.517,-6.109149675851823,1,0,,,,,,,
471,4C+40.34,G,0.152,17.97,non,,,,11,1,,3.034,-0.884,,,,
472,PKS1614+26,G,0.755467,18.86,det,53.012,20.224,-2.4577270153046187,13,2,,8.86,,,9.346,0.246,-0.794
473,B31614+473,G,0.198625,18.62,non,54.288,21.203,-1.2392678047253403,6,1,,12.696,-0.8,,,,
474,[HB89]1615+029,Q,1.339,18.3,non,56.792,23.803,-1.5485369929022124,11,2,,8.78,,,10.549,0.038,-1.295
475,3C327.1,G,0.462,17.63,non,,18.612,0.47010410700244537,28,1,,4.408,-1.047,,,,
476,PKS1622-253,Q,0.786,17.74,non,56.259,23.037,-0.9044953418228104,21,1,,9.657,0.031,,,,
477,PKS1622-29,Q,0.815,17.7,non,56.109,22.884,-0.9006265525893162,24,1,,10.103,-0.069,,,,
478,SDSSJ162214.34+090419.4,G,0.291792,17.81,non,52.42,19.659,-2.6111824323252435,0,0,,,,,,,
479,CGRaBSJ1623+6624,Q,0.203,18.48,non,,,,27,2,,9.85,,,9.943,0.665,-0.879
480,SDSSJ162318.74+370547.5,G,0.2029,19.05,non,51.158,18.645,-4.630446484833571,0,0,,,,,,,
481,2MASXJ16283902+2527560,Q,0.2199,18.05,non,54.633,21.357,-0.7976639219424053,1,0,,,,,,,
482,3C343,Q,0.988,17.04,non,54.974,21.927,-1.3541043810071087,20,2,,8.48,,,8.776,0.512,-1.006
483,SDSSJ164801.53+222433.3,VisS,0.82266,19.47,det,52.549,19.907,-3.440380970619287,7,1,,11.492,0.213,,,,
484,SDSSJ163844.80+275439.0,G,0.1035,18.53,non,51.125,18.566,-4.172115254914397,1,0,,,,,,,
485,[HB89]1642+690,Q,0.751,18.1,non,,18.948,0.441434637004559,34,1,,9.731,-0.063,,,,
486,2MASXJ16433192+3048356,G,0.184,18.41,non,52.701,20.053,-3.390254615192163,2,0,,,,,,,
487,B31642+458,G,0.2246,17.78,non,54.77,21.523,-0.8551914333279397,8,1,,10.321,-0.446,,,,
488,SDSSJ164516.33+132130.2,G,0.1934,18.13,non,49.532,17.173,-6.61124450056164,1,0,,,,,,,
490,PKS1649-062,G,0.236,18.9,det,,,,12,1,,14.57,-0.831,,,,
491,2MASXJ16524082+2318471,G,0.1623,18.25,non,50.003,17.618,-6.211623012014055,1,0,,,,,,,
492,WISEAJ165547.35+232930.5,G,0.393159,17.82,non,52.271,19.596,-3.194271926814054,0,0,,,,,,,
493,[HB89]1656+053,Q,0.879,17.89,non,56.757,23.605,-1.0647826531936544,23,1,,8.254,-0.339,,,,
494,[HB89]1656+571,Q,1.281,18.15,non,56.596,23.446,-1.0686478456571455,16,1,,10.575,-0.456,,,,
495,PKS1657-298,RadioS,0.42,18.72,det,,,,12,1,,4.482,-0.782,,,,
496,[HB89]1655+077,Q,0.621,18.17,non,55.11,21.742,-0.6456354271686972,28,1,,10.241,-0.106,,,,
497,2MASXJ17072749+2609583,G,0.1125,18.11,non,,,,1,0,,,,,,,
498,2MASXJ17073594+3539500,G,0.164,17.91,non,,,,5,1,,11.914,-0.696,,,,
499,PKS1706+006,G,0.449,17.43,non,,,,11,1,,11.402,-0.385,,,,
500,2MASXJ17081524+2111175,G,0.2241,19.71,det,50.813,18.288,-4.49965457630778,1,0,,,,,,,
501,SDSSJ171523.73+302824.1,R,0.1111,18.41,non,,,,1,0,,,,,,,
502,[HB89]1717+178,Q,0.137,18.48,non,54.382,21.156,-0.8968257457770412,28,2,,10.05,,,9.076,0.806,-0.089
503,2MASXJ17185436+5441486,G,0.147,18.98,det,52.91,20.092,-2.299260990143951,6,1,,24.591,-0.676,,,,
504,[HB89]1719+357,G,0.263,17.91,non,55.017,21.82,-0.9578683214346596,11,2,,8.22,,,10.533,-0.166,-1.413
505,2MASXJ17222364+3201281,G,0.227,18.15,non,52.019,17.143,-0.0200947883458382,1,0,,,,,,,
506,[HB89]1730-130,Q,0.902,17.43,non,56.18,22.914,-0.8191254513923493,30,1,,27.057,-0.093,,,,
507,[HB89]1739+522,Q,1.375,18.04,non,56.687,23.396,-0.7720438154367216,31,2,,9.43,,,8.587,3.883,-0.131
508,PKSB1740-517,G,0.4413,19.0,det,53.613,20.371,-0.8653024436565285,18,2,,8.98,,,8.791,1.471,-0.576
509,B31746+470,Q,1.484,18.91,non,,,,12,2,,10.05,,,9.909,0.993,-0.628
510,[HB89]1749+096,Q,0.32,18.04,non,55.776,22.572,-0.9439252724519706,65,1,,9.015,0.222,,,,
511,[HB89]1749+701,Q,0.77,17.89,non,56.604,23.411,-0.9670989080971326,28,1,,0.395,-0.2,,,,
512,[HB89]1803+784,Q,0.68,17.61,non,56.53,23.343,-0.981347596369354,37,1,,8.722,0.054,,,,
